App Name,App ID,Policy URL
app,com.newegg.app,https://kb.newegg.com/knowledge-base/privacy-policy-o/
yomuyomu,org.sinamon.yomuyomu,https://yomuyomu.app/legal
HungrySharkEvolution,com.fgol.HungrySharkEvolution,https://legal.ubi.com/privacypolicy
numbers,com.kahoot.numbers,https://kahoot.com/privacy-policy
portable,com.monect.portable,https://www.monect.com/privacy-policy/
ahakanji,com.ahancer.ahakanji,https://ahancer.com/kanjicard-tc.html
android,com.livhub.android,http://h5.ihubgo.info/privacyPolicy.html
communication,com.dailylife.communication,https://cast0nate011.wixsite.com/privacyen
music,com.spotify.music,https://www.spotify.com/legal/privacy-policy/
android,com.twitter.android,http://twitter.com/privacy
drops.learn.learning.speak.language.japanese.kanji.katakana.hiragana.romaji.words,com.languagedrops.drops.learn.learning.speak.language.japanese.kanji.katakana.hiragana.romaji.words,https://languagedrops.com/privacypolicy.html
numero,com.esim.numero,https://www.numeroesim.com/privacy-policy/
android.app,io.loudplay.android.app,http://dl.loudplay.ru/l/vfq/common/offer/userAgreement.en.html
NGP.TooHotToHandle2,com.netflix.NGP.TooHotToHandle2,https://netflix.com/privacy
b2b.speedy.trade,com.madeinchina.b2b.speedy.trade,https://m.made-in-china.com/app/privacy?supportGDPR=1&lan=en&appName=speedybuyer
fallbuddies,com.kitkagames.fallbuddies,https://www.scopely.com/en/legal?id=privacy
unofficalcupoftheleaderboard,markus.wieland.unofficalcupoftheleaderboard,https://sowiemarkus.github.io/datenschutz/index.html
monopolygo,com.scopely.monopolygo,https://scopely.com/privacy/
shimmer,net.xiaohuashu.shimmer,http://xiaohuashu.net/privacypolicy.html
j5a,com.lulilanguages.j5a,https://termsfeed.com/privacy-policy/b188b3fa24ba2c101681dd03104a5bd4
android,org.plus18.android,https://www.18plusbrowser.com/privacy.html
hotpursuit,se.raketspel.hotpursuit,https://www.raketspel.se/privacy.html
cloudgame.platform,com.cga.cloudgame.platform,https://sites.google.com/view/privacy-policy-niuniu-studio/
bofa,com.infonow.bofa,https://www.bankofamerica.com/privacy/overview.go
livewallpaper.england,com.androidwasabi.livewallpaper.england,https://sites.google.com/site/androidwasabi/home/privacy
fruitninjafree,com.halfbrick.fruitninjafree,https://www.halfbrick.com/pp
number.puzzle,com.appcraft.number.puzzle,https://docs.appsyoulove.com/policies/privacy-policy/
planner.starnest,journal.notes.planner.starnest,https://starnestsolution.com/calendar/privatepolicy
diarywithlock,com.happyverse.diarywithlock,https://fundeasy.in/diary-privacy-policy/
myhotpotstroy.abroad,com.lxqd.myhotpotstroy.abroad,http://www.subzero7.cn/PrivacyPolicy_us.html
kidsplace,com.kiddoware.kidsplace,https://kiddoware.com/kids-place-privacy-policy/?lang=en
kids,com.footlocker.kids,https://www.kidsfootlocker.com/help/privacy-statement.html
b2b.trade,com.madeinchina.b2b.trade,https://m.made-in-china.com/app/privacy
heychina,com.eup.heychina,https://eupgroup.net/apps/heychina/terms.html
challenge,com.gratitude.challenge,https://365gratitudejournal.com/privacy/index.html
app,com.devhao2learn.app,https://hao2learn.com/privacy.html
truthordare,com.nixgames.truthordare,https://nixgames45.blogspot.com/2021/09/truth-or-dare-privacy-policy.html
android.youtube,com.google.android.youtube,http://www.google.com/policies/privacy
,io.whatismynumber,https://whatismynumber.io/policy/privacy
messenger,org.telegram.messenger,https://telegram.org/privacy
merge,com.puzzle.merge,http://www.cardmania.top/static/page/pp.html
englishcounties,com.asmolgam.englishcounties,https://asmolgam.com/privacy/
nt.android.app1,uk.org.nt.android.app1,https://www.nationaltrust.org.uk/features/privacy-policy
lock.mood.daily,diary.journal.lock.mood.daily,https://simpledesign.ltd/privacypolicy.html?pkg=diary.journal.lock.mood.daily
jpnews,mobi.eup.jpnews,https://eupgroup.net/privacy-easy-japanese/
app.id_BrDtBG7PIX,co.tapcart.app.id_BrDtBG7PIX,http://americantall.com/pages/privacy-policy-webpage-version
android.onsen_en,net.kairosoft.android.onsen_en,http://kairopark.jp/android/priv.html
grammarific.englishamerican,com.pronunciatorllc.grammarific.englishamerican,https://bluebirdlanguages.com/bluebird-languages-privacy-policy/
clashofclans,com.supercell.clashofclans,https://supercell.com/en/privacy-policy/
kanjistudy,com.mindtwisted.kanjistudy,http://kanjistudyapp.com/policy.html
mood.tracker.diarywithlock,diary.journal.mood.tracker.diarywithlock,https://bestvideoappstudio.com/DIARY_PrivacyPolicy.html
newspike,com.netease.newspike,https://protocol.unisdk.easebar.com/release/latest_v475.html
cards,com.chineasy.cards,https://www.chineasy.com/privacy/
,com.ww18PlusBrowser_15935711,http://www.appsgeyser.com/privacy/app/
,com.greateranglia,http://www.greateranglia.co.uk/home/privacy-policy
cookingmadness,com.biglime.cookingmadness,https://www.zenlifegames.com/privacy-policy
hotslide,com.tapcheer.hotslide,http://www.tapcheer.com/support/hot-slide/
scorekeeper,ua.napps.scorekeeper,https://sites.google.com/view/score-counter-privacy-policy/home
video,org.pbskids.video,https://pbskids.org/privacy/
cloudgames.community,com.joyark.cloudgames.community,https://web.joyark.com/privacyPolicy
PCTycoon2Pro,com.InsignisGames.PCTycoon2Pro,https://doc-hosting.flycricket.io/pc-tycoon-2-pro-privacy-policy/42c8da80-d42b-444d-bb8b-063ddf6c5ab8/privacy
virtualLeaderboard,com.crazykoder.virtualLeaderboard,https://virtual-leaderboard.crazykoder.dev/privacy.html
,com.ww18PlusBrowser_14870445,http://www.appsgeyser.com/privacy/app/
results,com.sofascore.results,https://www.sofascore.com/privacy-policy/
dinochinese,com.imayi.dinochinese,https://yateland.com/privacy/
android.apps.photos,com.google.android.apps.photos,http://www.google.com/policies/privacy
mergenumberblocks,com.tinybird.mergenumberblocks,https://funtapcorp.vn/bao-mat
freefiremax,com.dts.freefiremax,https://content.garena.com/legal/pp/pp_en.html
eng,com.radiomaria.eng,https://radiomariaengland.uk/privacy-policy/
android,com.snapchat.android,http://www.snapchat.com/privacy
production,com.sgiggle.production,http://www.tango.me/privacy-policy/
billionairestories,org.nanobit.billionairestories,https://www.nanobit.com/privacy-policy/
hotnspicy,com.indolj.hotnspicy,https://hot-nspicy.com/privacy-policy
avod.thirdpartyclient,com.amazon.avod.thirdpartyclient,http://www.amazon.com/gp/help/customer/display.html?nodeId=468496
italk.zh,com.atistudios.italk.zh,https://www.mondly.com/privacy
mini.native,com.opera.mini.native,http://www.opera.com/privacy
journal,com.planner.journal,https://planwiz.app/privacy-policy.html
orca,com.facebook.orca,https://m.facebook.com/policy.php
vlc,org.videolan.vlc,https://www.videolan.org/vlc/privacy.html
android.calendar,com.google.android.calendar,http://www.google.com/policies/privacy
android.apps.authenticator2,com.google.android.apps.authenticator2,http://www.google.com/policies/privacy
inbound.walk,com.navitime.inbound.walk,https://static.japan.travel.navitime.com/contents/html/general/privacy/privacy_en.html
,com.chineseskill,https://www.chineseskill.com/privacypolicy-html
tabiko,com.fastjapan.tabiko,https://www.inbound-platform.com/en/privacy/
,com.sewayou,https://www.SewaYou.com/privacy
textfree,com.pinger.textfree,http://www.pinger.com/privacy-policy/
hotshotcasino,com.williamsinteractive.hotshotcasino,https://www.sciplay.com/terms-of-service/#!/privacy
jpfree,com.mosalingua.jpfree,https://www.mosalingua.com/app-privacy
,ai.blush,https://blush.ai/legal/privacy
android.GoogleCamera,com.google.android.GoogleCamera,http://www.google.com/policies/privacy
android.contacts,com.google.android.contacts,http://www.google.com/policies/privacy
hillclimb,com.fingersoft.hillclimb,http://www.fingersoft.com/privacy.html
mykidsplace,com.cancriesolutions.mykidsplace,https://mykidsplace.store/#/site/privacy-policy
raider,com.skype.raider,http://www.skype.com/go/privacy
chinesewriterlite,com.molatra.chinesewriterlite,http://www.trainchinese.com/v2/mprivacy.php
NGP.TooHotToHandle3,com.netflix.NGP.TooHotToHandle3,https://netflix.com/privacy
uk.vpn,com.karastm.uk.vpn,http://allenmax.atwebpages.com/policy/karastm/UK_VPN.html
Wagotabi,com.WagotabiLimited.Wagotabi,https://www.wagotabi.com/privacy-policy
hotrodmag,com.ten.hotrodmag,https://www.motortrend.com/privacy-policy/
TeleWeb104394,com.ProfitStars.TeleWeb104394,https://www.bankofengland-ar.com/privacy-policy
android.apps.docs,com.google.android.apps.docs,http://www.google.com/policies/privacy
apps.user.android,com.avinty.apps.user.android,https://avinty.com/privacy-policy
android,com.zulily.android,
android,com.vpnplus18.android,https://www.18plus.tech/privacy
hyperdroid,com.binary.hyperdroid,https://github.com/windows-ui/ProjectHyperDroid/tree/main/PrivacyPolicy
android.deskclock,com.google.android.deskclock,http://www.google.com/policies/privacy
app,co.hinge.app,https://hinge.co/privacy
appmanager,com.microsoft.appmanager,http://go.microsoft.com/fwlink/?LinkID=248686
nesuper,com.dv8games.nesuper,https://www.freeprivacypolicy.com/live/2dd73ea2-4561-4711-b390-4dc63d7a175a
livingroom,com.imdbtv.livingroom,https://www.primevideo.com/terms
mypaandroid,com.passportamerica.mypaandroid,https://passportamerica.com/privacy
android.eris,com.mobile.android.eris,https://www.erisdating.com/view/company/terms.html
enduser,com.connect.enduser,https://isa.hik-connect.com/views/terms/hct/newPrivacyPolicy.html
android.dialer,com.google.android.dialer,http://www.google.com/policies/privacy
android,com.macys.android,https://customerservice-macys.com/articles/macys-and-macyscom-notice-of-privacy-practices
england_national_football_team_wallpaper,com.zhenkolist.england_national_football_team_wallpaper,https://zhenkolist.blogspot.com/2023/01/zhenkolist-apps-privacy-policy.html
,com.duolingo,https://www.duolingo.com/privacy
android.googlequicksearchbox,com.google.android.googlequicksearchbox,http://www.google.com/policies/privacy
baba,com.rovio.baba,https://www.rovio.com/privacy
xtian.journal,com.bzn.xtian.journal,https://bizchineseapp.com/xtian-journal-terms.php
android.apps.chromecast.app,com.google.android.apps.chromecast.app,https://policies.google.com/privacy
vne,com.visitwidget.vne,https://visitwidget.com/privacy-policy/
gp.fifamobile,com.ea.gp.fifamobile,http://privacy.ea.com/en
farmheroessaga,com.king.farmheroessaga,https://king.com/privacyPolicy
app,ru.loveplanet.app,http://loveplanet.ru/a-conditions/en
