app_id,policy_url
com.newegg.app,https://kb.newegg.com/knowledge-base/privacy-policy-o/
org.sinamon.yomuyomu,https://yomuyomu.app/legal
com.fgol.HungrySharkEvolution,https://legal.ubi.com/privacypolicy
net.daylio,https://faq.daylio.net/article/15-privacy-policy
com.kahoot.numbers,https://kahoot.com/privacy-policy
com.monect.portable,https://www.monect.com/privacy-policy/
com.ahancer.ahakanji,https://ahancer.com/kanjicard-tc.html
com.livhub.android,http://h5.ihubgo.info/privacyPolicy.html
com.dailylife.communication,https://cast0nate011.wixsite.com/privacyen
com.spotify.music,https://www.spotify.com/legal/privacy-policy/
com.twitter.android,http://twitter.com/privacy
com.languagedrops.drops.learn.learning.speak.language.japanese.kanji.katakana.hiragana.romaji.words,https://languagedrops.com/privacypolicy.html
com.esim.numero,https://www.numeroesim.com/privacy-policy/
io.loudplay.android.app,http://dl.loudplay.ru/l/vfq/common/offer/userAgreement.en.html
com.netflix.NGP.TooHotToHandle2,https://netflix.com/privacy
com.madeinchina.b2b.speedy.trade,https://m.made-in-china.com/app/privacy?supportGDPR=1&lan=en&appName=speedybuyer
com.kitkagames.fallbuddies,https://www.scopely.com/en/legal?id=privacy
markus.wieland.unofficalcupoftheleaderboard,https://sowiemarkus.github.io/datenschutz/index.html
com.scopely.monopolygo,https://scopely.com/privacy/
net.xiaohuashu.shimmer,http://xiaohuashu.net/privacypolicy.html
com.lulilanguages.j5a,https://termsfeed.com/privacy-policy/b188b3fa24ba2c101681dd03104a5bd4
org.plus18.android,https://www.18plusbrowser.com/privacy.html
se.raketspel.hotpursuit,https://www.raketspel.se/privacy.html
com.cga.cloudgame.platform,https://sites.google.com/view/privacy-policy-niuniu-studio/
com.infonow.bofa,https://www.bankofamerica.com/privacy/overview.go
com.chinesegrammar,https://ninchanese.com/privacy/
com.androidwasabi.livewallpaper.england,https://sites.google.com/site/androidwasabi/home/privacy
com.halfbrick.fruitninjafree,https://www.halfbrick.com/pp
com.appcraft.number.puzzle,https://docs.appsyoulove.com/policies/privacy-policy/
journal.notes.planner.starnest,https://starnestsolution.com/calendar/privatepolicy
com.happyverse.diarywithlock,https://fundeasy.in/diary-privacy-policy/
